College Code,College name,Branch Code,Branch Name,Community,Cutoff marks
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,OC,175
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,BC,170
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,BCM,162
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,MBC,163.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,SC,146
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,SCA,134.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,ST,138.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,OC,190
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,BC,189.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,BCM,180
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,MBC,185.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,SC,172
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,SCA,164
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,189
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BC,188
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BCM,184
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,MBC,182
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,168
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SCA,153
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,186
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC,184.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCM,175.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,MBC,179.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,166.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SCA,149
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,118.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,OC,182
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,BC,179.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,BCM,180
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,MBC,169.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,SC,148
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,SCA,146.75
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ST,102.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO-TECHNOLOGY,OC,175.5
