College Code,College Name,Branch Code,Branch Name,Community,Cutoff marks
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,OC,181.21
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,BC,173.88
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,BCM,171.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,MBC,171
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,SC,162.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,SCA,143
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,ST,157.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,OC,196.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,BC,195.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,BCM,192
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,MBC,194
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,SC,186
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,SCA,180.275
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,195.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BC,194.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BCM,194.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,MBC,193
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,183.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SCA,166.755
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,193
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC,191.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCM,191
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,MBC,188.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,178.97
